100000100:ITALIA:ES:NULL
100000201:ALBANIA:ES:NULL
100000202:ANDORRA:ES:NULL
100000203:AUSTRIA:ES:NULL
100000206:BELGIO:ES:NULL
100000209:BULGARIA:ES:NULL
100000210:CECOSLOVACCHIA:ES:"1993-01-01 00:00:00.000"
100000212:DANIMARCA:ES:NULL
100000214:FINLANDIA:ES:NULL
100000215:FRANCIA:ES:NULL
100000216:GERMANIA:ES:NULL
100000219:REGNO UNITO:ES:NULL
100000220:GRECIA:ES:NULL
100000221:IRLANDA:ES:NULL
100000223:ISLANDA:ES:NULL
100000224:JUGOSLAVIA (SERBIA-MONTENEGRO):ES:NULL
100000225:LIECHTENSTEIN:ES:NULL
100000226:LUSSEMBURGO:ES:NULL
100000227:MALTA:ES:NULL
100000229:MONACO:ES:NULL
100000231:NORVEGIA:ES:NULL
100000232:PAESI BASSI:ES:NULL
100000233:POLONIA:ES:NULL
100000234:PORTOGALLO:ES:NULL
100000235:ROMANIA:ES:NULL
100000236:SAN MARINO:ES:NULL
100000239:SPAGNA:ES:NULL
100000240:SVEZIA:ES:NULL
100000241:SVIZZERA:ES:NULL
100000243:UCRAINA:ES:NULL
100000244:UNGHERIA:ES:NULL
100000245:RUSSIA:ES:NULL
100000246:CITTA' DEL VATICANO:ES:NULL
100000247:ESTONIA:ES:NULL
100000248:LETTONIA:ES:NULL
100000249:LITUANIA:ES:NULL
100000250:CROAZIA:ES:NULL
100000251:SLOVENIA:ES:NULL
100000252:BOSNIA ED ERZEGOVINA:ES:NULL
100000253:MACEDONIA:ES:NULL
100000254:MOLDAVIA:ES:NULL
100000255:REPUBBLICA SLOVACCA:ES:NULL
100000256:BIELORUSSIA:ES:NULL
100000257:REPUBBLICA CECA:ES:NULL
100000301:AFGHANISTAN:ES:NULL
100000302:ARABIA SAUDITA:ES:NULL
100000304:BAHREIN:ES:NULL
100000305:BANGLADESH:ES:NULL
100000306:BHUTAN:ES:NULL
100000307:MYANMAR (BIRMANIA):ES:NULL
100000309:BRUNEI:ES:NULL
100000310:CAMBOGIA:ES:NULL
100000311:SRI LANKA (CEYLON):ES:NULL
100000314:CINA POPOLARE:ES:NULL
100000315:CIPRO:ES:NULL
100000319:COREA DEL NORD:ES:NULL
100000320:COREA DEL SUD:ES:NULL
100000322:EMIRATI ARABI UNITI:ES:NULL
100000323:FILIPPINE:ES:NULL
100000326:GIAPPONE:ES:NULL
100000327:GIORDANIA:ES:NULL
100000330:INDIA:ES:NULL
100000331:INDONESIA:ES:NULL
100000332:IRAN:ES:NULL
100000333:IRAQ:ES:NULL
100000334:ISRAELE:ES:NULL
100000335:KUWAIT:ES:NULL
100000336:LAOS:ES:NULL
100000337:LIBANO:ES:NULL
100000339:MALDIVE:ES:NULL
100000340:MALESIA:ES:NULL
100000341:MONGOLIA:ES:NULL
100000342:NEPAL:ES:NULL
100000343:OMAN:ES:NULL
100000344:PAKISTAN:ES:NULL
100000345:QATAR:ES:NULL
100000346:SINGAPORE:ES:NULL
100000348:SIRIA:ES:NULL
100000349:THAILANDIA:ES:NULL
100000351:TURCHIA:ES:NULL
100000353:VIETNAM:ES:NULL
100000354:YEMEN:ES:NULL
100000356:KAZAKISTAN:ES:NULL
100000357:UZBEKISTAN:ES:NULL
100000358:ARMENIA:ES:NULL
100000359:AZERBAIGIAN:ES:NULL
100000360:GEORGIA:ES:NULL
100000361:KIRGHIZISTAN:ES:NULL
100000362:TAGIKISTAN:ES:NULL
100000363:TAIWAN:ES:NULL
100000364:TURKMENISTAN:ES:NULL
100000401:ALGERIA:ES:NULL
100000402:ANGOLA:ES:NULL
100000404:COSTA D'AVORIO:ES:NULL
100000406:BENIN:ES:NULL
100000408:BOTSWANA:ES:NULL
100000409:BURKINA FASO:ES:NULL
100000410:BURUNDI:ES:NULL
100000411:CAMERUN:ES:NULL
100000413:CAPO VERDE:ES:NULL
100000414:CENTRAFRICA:ES:NULL
100000415:CIAD:ES:NULL
100000417:COMORE:ES:NULL
100000418:CONGO:ES:NULL
100000419:EGITTO:ES:NULL
100000420:ETIOPIA:ES:NULL
100000421:GABON:ES:NULL
100000422:GAMBIA:ES:NULL
100000423:GHANA:ES:NULL
100000424:GIBUTI:ES:NULL
100000425:GUINEA:ES:NULL
100000426:GUINEA BISSAU:ES:NULL
100000427:GUINEA EQUATORIALE:ES:NULL
100000428:KENIA:ES:NULL
100000429:LESOTHO:ES:NULL
100000430:LIBERIA:ES:NULL
100000431:LIBIA:ES:NULL
100000432:MADAGASCAR:ES:NULL
100000434:MALAWI:ES:NULL
100000435:MALI:ES:NULL
100000436:MAROCCO:ES:NULL
100000437:MAURITANIA:ES:NULL
100000438:MAURIZIO:ES:NULL
100000440:MOZAMBICO:ES:NULL
100000441:NAMIBIA:ES:NULL
100000442:NIGER:ES:NULL
100000443:NIGERIA:ES:NULL
100000446:RUANDA:ES:NULL
100000448:SAO TOME' E PRINCIPE:ES:NULL
100000449:SEICELLE:ES:NULL
100000450:SENEGAL:ES:NULL
100000451:SIERRA LEONE:ES:NULL
100000453:SOMALIA:ES:NULL
100000454:SUD AFRICA:ES:NULL
100000455:SUDAN:ES:NULL
100000456:SWAZILAND:ES:NULL
100000457:TANZANIA:ES:NULL
100000458:TOGO:ES:NULL
100000460:TUNISIA:ES:NULL
100000461:UGANDA:ES:NULL
100000463:ZAIRE:ES:NULL
100000464:ZAMBIA:ES:NULL
100000465:ZIMBABWE:ES:NULL
100000466:ERITREA:ES:NULL
100000467:SUD SUDAN:ES:NULL
100000503:ANTIGUA E BARBUDA:ES:NULL
100000505:BAHAMA:ES:NULL
100000506:BARBADOS:ES:NULL
100000507:BELIZE:ES:NULL
100000509:CANADA:ES:NULL
100000513:COSTARICA:ES:NULL
100000514:CUBA:ES:NULL
100000515:DOMINICA:ES:NULL
100000516:REP. DOMINICANA:ES:NULL
100000517:EL SALVADOR:ES:NULL
100000518:GIAMAICA:ES:NULL
100000519:GRENADA:ES:NULL
100000523:GUATEMALA:ES:NULL
100000524:HAITI:ES:NULL
100000525:HONDURAS:ES:NULL
100000527:MESSICO:ES:NULL
100000529:NICARAGUA:ES:NULL
100000530:PANAMA:ES:NULL
100000532:SAINT LUCIA:ES:NULL
100000533:S. VINCENT E GRENADINE:ES:"2001-11-22 00:00:00.000"
100000534:S. CHRISTOPHER E NEVIS:ES:NULL
100000536:STATI UNITI D'AMERICA:ES:NULL
100000602:ARGENTINA:ES:NULL
100000604:BOLIVIA:ES:NULL
100000605:BRASILE:ES:NULL
100000606:CILE:ES:NULL
100000608:COLOMBIA:ES:NULL
100000609:ECUADOR:ES:NULL
100000612:GUYANA:ES:NULL
100000614:PARAGUAY:ES:NULL
100000615:PERU':ES:NULL
100000616:SURINAME:ES:NULL
100000617:TRINIDAD E TOBAGO:ES:NULL
100000618:URUGUAY:ES:NULL
100000619:VENEZUELA:ES:NULL
100000701:AUSTRALIA:ES:NULL
100000703:FIGI:ES:NULL
100000708:KIRIBATI:ES:NULL
100000715:NAURU:ES:NULL
100000719:NUOVA ZELANDA:ES:NULL
100000721:PAPUASIA-N.GUINEA:ES:NULL
100000725:SALOMONE:ES:NULL
100000727:SAMOA:ES:NULL
100000730:TONGA:ES:NULL
100000731:TUVALU:ES:NULL
100000732:VANUATU:ES:NULL
100000733:ANGUILLA (ISOLA):ES:NULL
100000734:ANTILLE BRITANNICHE:ES:NULL
100000735:ANTILLE OLANDESI:ES:NULL
100000736:ARABIA MERIDIONALE:ES:NULL
100000737:BASUTOLAND SUD AFRICA BRITANNICO:ES:NULL
100000738:BECIUANIA SUD AFRICA BRITANNICO:ES:NULL
100000739:BERMUDE:ES:NULL
100000740:BOPHUTHATSWANA:ES:"1994-05-01 00:00:00.000"
100000741:CAROLINE:ES:NULL
100000742:CAYMAN (ISOLE):ES:NULL
100000743:CHRISTMAS:ES:NULL
100000744:CINA REPUBBLICA NAZIONALE:ES:NULL
100000745:CISKEI:ES:NULL
100000746:COCOS:ES:NULL
100000747:DIPENDENZE AUSTRALIANE:ES:NULL
100000748:DIPENDENZE BRITANNICHE:ES:NULL
100000749:DIPENDENZE CANADESI:ES:NULL
100000750:DIPENDENZE FRANCESI:ES:NULL
100000751:DIPENDENZE NEOZELANDESI:ES:NULL
100000752:DIPENDENZE SOVIETICHE:ES:NULL
100000753:DIPENDENZE SUDAFRICANE:ES:NULL
100000754:ELLICE:ES:NULL
100000755:FAER OER:ES:NULL
100000757:GERMANIA REP. DEMOCRATICA:ES:NULL
100000758:GROENLANDIA:ES:NULL
100000759:GUADALUPA:ES:NULL
100000760:GUAM:ES:NULL
100000761:GUAYANA FRANCESE:ES:NULL
100000762:IFNI:ES:NULL
100000763:IRIAN OCCIDENTALE:ES:NULL
100000764:ISOLE VERGINI:ES:NULL
100000765:LA REUNION:ES:NULL
100000766:MACQUARIE:ES:NULL
100000767:MALAYSIA:ES:NULL
100000768:MALVINE:ES:NULL
100000769:MAN:ES:NULL
100000770:MARCUS:ES:NULL
100000771:MARIANNE:ES:NULL
100000772:MARSHALL:ES:NULL
100000773:MARTINICA:ES:NULL
100000774:MAYOTTE:ES:NULL
100000775:MICRONESIA STATI FEDERALI:ES:NULL
100000776:MIDWAY:ES:NULL
100000777:MONTSERRAT:ES:NULL
100000778:NORFOLK:ES:NULL
100000779:NORMANNE:ES:NULL
100000780:NUOVA CALEDONIA:ES:NULL
100000781:NUOVA GUINEA:ES:NULL
100000782:NUOVE EBRIDI:ES:NULL
100000783:PALAU REPUBBLICA:ES:NULL
100000784:PANAMA ZONA DEL CANALE:ES:NULL
100000785:PASQUA:ES:NULL
100000786:PITCAIRN:ES:NULL
100000787:POLINESIA:ES:NULL
100000788:PRINCIPE:ES:NULL
100000789:PROTETTORATO DELLA ARABIA MERIDIONALE:ES:NULL
100000790:PUERTO RICO:ES:NULL
100000793:URSS:ES:NULL
100000794:RYUKYU:ES:NULL
100000795:SAHARA SPAGNOLO:ES:NULL
100000796:SAINT PIERRE ET MIQUELON:ES:NULL
100000797:SAINT VINCENT E GRENADINE:ES:NULL
100000798:SAMOA AMERICANE:ES:NULL
100000799:SANT ELENA:ES:NULL
100000800:SAVAGE:ES:NULL
100000801:SIKKIM:ES:NULL
100000802:SOMALIA FRANCESE:ES:NULL
100000803:TANGANICA:ES:NULL
100000804:TERRITORIO DI GAZA:ES:NULL
100000805:TIMOR:ES:NULL
100000806:TOKELAU:ES:NULL
100000808:TRANSKEI:ES:NULL
100000810:TURKS:ES:NULL
100000811:VENDA:ES:NULL
100000812:VERGINI BRITANNICHE (ISOLE):ES:NULL
100000813:VIETNAM DEL NORD:ES:NULL
100000814:VIETNAM DEL SUD:ES:NULL
100000815:WALLIS:ES:NULL
100000816:YEMEN REP. DEM. POPOLARE:ES:NULL
100000817:ZANZIBAR:ES:NULL
100000998:REPUBBLICA DEMOCRATICA DEL CONGO:ES:NULL
100000999:APOLIDE:ES:NULL
100001000:SERBIA:ES:NULL
100001001:MONTENEGRO:ES:NULL
100001002:KOSOVO:ES:NULL
110000001:PALESTINA:ES:NULL
110000002:CANARIE ISOLE:ES:NULL
110000003:MACAO:ES:NULL
110000004:GIBILTERRA:ES:NULL
110000005:HONG KONG:ES:NULL
110000006:IRAN-ETNIA CURDA:ES:NULL
110000007:IRAQ-ETNIA CURDA:ES:NULL
110000008:SIRIA-ETNIA CURDA:ES:NULL
110000009:TURCHIA-ETNIA CURDA:ES:NULL
110000010:JUGOSLAVIA ETNIA KOSSOVARA:ES:NULL
110000011:NAZ. BRITANNICO(OLTREMARE)-HONG KONG:ES:NULL
